txn_id,member_id,ts,amount,channel,product,counterparty,geo,narrative,branch,device_id
T100000120,M100005,2025-04-09 18:31:04,524776.0,MOBILE,CURRENT,Anderson LLC,KE-EDL,Executive stay treat campaign experience.,Eldoret,dev-eoxTGmq
T100000121,M100005,2025-04-16 07:10:39,-130571.0,AGENT,LOAN,Vaughan LLC,KE-THK,Economic somebody meet easy glass.,Eldoret,dev-uXIgUpUW
T100000122,M100005,2025-07-03 12:01:25,-29347.0,AGENT,FIXED,"Martin, Hartman and Johnson",KE-EDL,Rock within be.,Nairobi HQ,dev-bfXhNiA
T100000123,M100005,2025-04-14 22:50:59,-84710.0,CASH,FIXED,Palmer Inc,KE-THK,Nice prove west resource season.,Mombasa,dev-hzZwfA
T100000124,M100005,2025-05-29 08:54:26,-140901.0,MOBILE,MOBILE,Ingram-Farley,KE-EDL,Speech collection step.,Thika,dev-YQYpMl
T100000125,M100005,2025-07-04 17:06:48,190856.0,TELLER,MOBILE,Morales-Martinez,KE-EDL,Service serve onto likely summer.,Nairobi HQ,dev-ANjOtUZa
T100000126,M100005,2025-09-26 12:03:19,-612153.0,CARD,MOBILE,Moody-Braun,KE-NRB,Participant father usually four.,Mombasa,dev-FuhjAIeK
T100000127,M100005,2025-03-28 15:15:33,-303897.0,CASH,FIXED,Becker-Holder,KE-EDL,Bar your material.,Nakuru,dev-IYoZxM
T100000128,M100005,2025-09-29 02:09:14,105010.0,TELLER,LOAN,Kirk Inc,KE-NKR,Mrs professional society bar.,Mombasa,dev-VLKtqM
T100000129,M100005,2025-02-10 02:07:32,533561.0,AGENT,LOAN,"Noble, Levy and Peterson",KE-NKR,Worker wrong onto.,Thika,dev-IVQmgWG
T100000130,M100005,2025-09-04 09:34:24,541006.0,CASH,MOBILE,"Garza, Smith and Jackson",KE-KSM,Learn themselves without entire.,Nairobi HQ,dev-tTWIAoo
T100000131,M100005,2025-04-27 14:30:08,-418478.0,TELLER,SAVINGS,Evans-Smith,KE-EDL,Know spend watch during simply.,Mombasa,dev-GWcfbp
T100000132,M100006,2025-03-10 15:30:55,200518.0,CASH,FIXED,"Schmidt, Jackson and Moore",KE-NYR,Eye already side.,Nairobi HQ,dev-bdfpkfN
T100000133,M100006,2025-08-04 14:38:54,101935.0,MOBILE,MOBILE,Russell-Martin,KE-THK,Resource chair run worker any when.,Nyeri,dev-afrUGu
T100000134,M100006,2025-08-25 03:46:35,32824.0,MOBILE,CURRENT,"Snow, Smith and Curry",KE-EDL,Everything someone minute help people.,Thika,dev-yxXObL
T100000135,M100006,2025-02-10 08:11:23,659115.0,CASH,FIXED,Price-Miller,KE-THK,Pick decide despite operation attention.,Eldoret,dev-adQUymHz
T100000136,M100006,2025-05-05 04:20:12,107804.0,CARD,MOBILE,"Smith, Thompson and Anderson",KE-NRB,Teacher community leg begin offer.,Kisumu,dev-sbzYPK
T100000137,M100006,2025-02-18 00:02:02,261556.0,CASH,SAVINGS,Rodriguez Group,KE-NKR,Across contain occur risk.,Nakuru,dev-xONMem
T100000138,M100006,2025-06-16 01:24:12,88773.0,CASH,MOBILE,Murray Group,KE-MSA,After development discover seat one drug style.,Eldoret,dev-PadBuP
T100000139,M100006,2025-02-27 08:25:11,130619.0,AGENT,SAVINGS,Frazier-Lewis,KE-NYR,Watch I beyond shake.,Thika,dev-hLdDdWp
T100000140,M100006,2025-07-25 20:59:29,418596.0,MOBILE,SAVINGS,Cole-Maldonado,KE-NRB,International day sister Democrat it.,Nairobi HQ,dev-YcotjdvS
T100000141,M100006,2025-06-04 03:27:14,178276.0,CASH,MOBILE,Ashley-White,KE-NKR,Better them those young.,Mombasa,dev-WyilfkP
T100000142,M100006,2025-09-17 07:46:48,-215335.0,TELLER,MOBILE,Reeves-Williams,KE-NRB,Speak work draw benefit serious help.,Eldoret,dev-JNBmKE
T100000143,M100006,2025-10-09 04:38:14,-648352.0,CASH,FIXED,Diaz-Schaefer,KE-MSA,Black decide of picture.,Thika,dev-VpZBGmz
T100000144,M100006,2025-03-08 09:00:24,52276.0,CASH,LOAN,Wise LLC,KE-NRB,Eight from well institution everybody office.,Kisumu,dev-cBmqMqVg
T100000145,M100006,2025-07-21 10:00:10,-783826.0,TELLER,FIXED,"Anderson, Warner and Howard",KE-MSA,Notice bar quality behavior already.,Eldoret,dev-sIBwNS
T100000146,M100006,2025-09-19 01:13:53,-183274.0,AGENT,FIXED,Ayers Ltd,KE-KSM,Despite defense record number save.,Mombasa,dev-otWKnE
T100000147,M100006,2025-10-05 21:47:54,161503.0,MOBILE,SAVINGS,"Nicholson, Duran and Cooper",KE-MSA,General ground them individual.,Kisumu,dev-bbEvKUv
T100000148,M100006,2025-03-06 22:58:58,76658.0,TELLER,FIXED,Parks-Khan,KE-MSA,Common themselves couple.,Nyeri,dev-eqRobJQg
T100000149,M100006,2025-02-15 15:13:29,310444.0,AGENT,MOBILE,Turner Ltd,KE-MSA,Huge song forward sometimes.,Mombasa,dev-hstsOJ
T100000150,M100006,2025-09-09 05:43:16,-711254.0,TELLER,LOAN,Riley and Sons,KE-NKR,Not person energy thought very high.,Nairobi HQ,dev-armfTWR
T100000151,M100007,2025-10-26 03:06:02,-281884.0,MOBILE,FIXED,"Morales, Morris and Oliver",KE-NKR,Several no public reveal feel.,Nakuru,dev-krNOLke
T100000152,M100007,2025-05-30 13:26:19,-87299.0,CARD,LOAN,Campbell Ltd,KE-MSA,Weight peace reach management get.,Mombasa,dev-LqafCe
T100000153,M100007,2025-05-30 00:55:58,1010914.0,TELLER,SAVINGS,Hawkins and Sons,KE-MSA,Analysis financial stop.,Nairobi HQ,dev-aVkdDO
T100000154,M100007,2025-03-13 17:45:06,-161298.0,MOBILE,FIXED,Boyle-Ferguson,KE-THK,Mr international fund decision.,Nakuru,dev-sRMthUWr
T100000155,M100007,2025-06-15 15:02:14,105247.0,MOBILE,SAVINGS,Key and Sons,KE-EDL,West for total safe eat growth.,Nairobi HQ,dev-BqPyKOw
T100000156,M100007,2025-10-03 18:15:04,-307522.0,MOBILE,FIXED,Hartman-Peters,KE-EDL,Level marriage democratic have shoulder.,Eldoret,dev-OlUCDZK
T100000157,M100007,2025-03-31 19:55:40,-107351.0,CARD,SAVINGS,"Gutierrez, Howe and Willis",KE-MSA,Nature politics happen.,Nakuru,dev-uRAAJob
T100000158,M100007,2025-09-16 13:02:49,144938.0,TELLER,MOBILE,Bryan Ltd,KE-NYR,Sister throw report kid win.,Eldoret,dev-wmTRllMn
T100000159,M100007,2025-02-19 14:30:48,212880.0,MOBILE,CURRENT,Floyd-Christensen,KE-NRB,Stage culture generation that.,Nyeri,dev-gvzboIpf
T100000160,M100007,2025-04-10 00:02:45,-233831.0,CASH,MOBILE,"Young, Preston and Brown",KE-NRB,Reality me perform partner network statement.,Nakuru,dev-jjhdnT
T100000161,M100007,2025-07-26 03:33:19,445314.0,TELLER,CURRENT,Burns PLC,KE-NYR,Power get wife meet.,Nairobi HQ,dev-HrBsQl
T100000162,M100007,2025-03-31 06:24:07,-170912.0,AGENT,SAVINGS,"Santana, Campbell and Perez",KE-THK,Deep yes remember that I performance.,Nyeri,dev-BsZXIy
T100000163,M100007,2025-10-15 05:53:05,321840.0,MOBILE,LOAN,Palmer and Sons,KE-EDL,Fly share or next minute near two.,Mombasa,dev-pKvrOYJ
T100000164,M100007,2025-05-20 08:13:33,1086100.0,CASH,LOAN,"Morgan, Jones and Miller",KE-EDL,Seat forget night treatment.,Nyeri,dev-ptwAvoz
T100000165,M100007,2025-04-10 13:55:52,202694.0,CASH,FIXED,Newman-Smith,KE-EDL,Feel dog treatment stock shoulder operation.,Eldoret,dev-lwGvBhS
T100000166,M100007,2025-05-09 02:54:34,175532.0,CARD,FIXED,Smith PLC,KE-THK,Six imagine off.,Thika,dev-dZlaQoHw
