staff_id,module,completed_on,score,expiry_on
5620ec37,goAML Filing,2025-10-25,93,2026-10-25
52bfb0f7,goAML Filing,2025-10-25,83,2026-10-25
a06bdd3f,AML Basics,2025-10-25,71,2026-10-25
faf2e2bf,TFS,2025-10-25,82,2026-10-25
dfedccf8,TFS,2025-10-25,68,2026-10-25
87945712,CDD/EDD,2025-10-25,97,2026-10-25
a4f1e906,CDD/EDD,2025-10-25,72,2026-10-25
0f137cb9,goAML Filing,2025-10-25,97,2026-10-25
f463845c,AML Basics,2025-10-25,73,2026-10-25
4b788e21,goAML Filing,2025-10-25,79,2026-10-25
1ec2717e,TFS,2025-10-25,77,2026-10-25
0464b6af,TFS,2025-10-25,75,2026-10-25
d94b5212,CDD/EDD,2025-10-25,89,2026-10-25
950a1f3f,CDD/EDD,2025-10-25,87,2026-10-25
4877e22d,TFS,2025-10-25,75,2026-10-25
84b98dd1,AML Basics,2025-10-25,100,2026-10-25
cb03c55a,TFS,2025-10-25,67,2026-10-25
32a3c491,TFS,2025-10-25,71,2026-10-25
0644014a,goAML Filing,2025-10-25,85,2026-10-25
9f90cfa0,goAML Filing,2025-10-25,79,2026-10-25
d969764c,AML Basics,2025-10-25,67,2026-10-25
664d2b41,TFS,2025-10-25,84,2026-10-25
5aaf7d7a,AML Basics,2025-10-25,70,2026-10-25
0cc7753b,goAML Filing,2025-10-25,65,2026-10-25
e2173f98,goAML Filing,2025-10-25,87,2026-10-25
9acadda1,TFS,2025-10-25,95,2026-10-25
93b5284b,AML Basics,2025-10-25,94,2026-10-25
35dc1cc4,AML Basics,2025-10-25,88,2026-10-25
c569b970,TFS,2025-10-25,88,2026-10-25
b8cb9f14,TFS,2025-10-25,85,2026-10-25
3abeefba,goAML Filing,2025-10-25,99,2026-10-25
39ef3604,TFS,2025-10-25,67,2026-10-25
784101a5,AML Basics,2025-10-25,98,2026-10-25
5013a7f9,AML Basics,2025-10-25,98,2026-10-25
0c9c89e0,goAML Filing,2025-10-25,67,2026-10-25
ef446d83,AML Basics,2025-10-25,69,2026-10-25
6616fa8c,CDD/EDD,2025-10-25,81,2026-10-25
0680478b,AML Basics,2025-10-25,95,2026-10-25
ee45f3eb,CDD/EDD,2025-10-25,95,2026-10-25
6fc74279,CDD/EDD,2025-10-25,92,2026-10-25
3614b663,goAML Filing,2025-10-25,64,2026-10-25
eeb017ef,AML Basics,2025-10-25,80,2026-10-25
9754c15d,TFS,2025-10-25,95,2026-10-25
674113d4,goAML Filing,2025-10-25,91,2026-10-25
bc21b711,TFS,2025-10-25,70,2026-10-25
f3f02796,CDD/EDD,2025-10-25,80,2026-10-25
0e091995,CDD/EDD,2025-10-25,79,2026-10-25
f647872a,TFS,2025-10-25,84,2026-10-25
cf3475a1,goAML Filing,2025-10-25,61,2026-10-25
7d3fd1f0,CDD/EDD,2025-10-25,67,2026-10-25
73fd8f08,TFS,2025-10-25,82,2026-10-25
4671d07e,TFS,2025-10-25,99,2026-10-25
ee127eba,CDD/EDD,2025-10-25,61,2026-10-25
462a74fb,CDD/EDD,2025-10-25,76,2026-10-25
cc3766a4,AML Basics,2025-10-25,92,2026-10-25
2508d469,goAML Filing,2025-10-25,94,2026-10-25
d7de5bc8,AML Basics,2025-10-25,90,2026-10-25
0b0ebe3d,CDD/EDD,2025-10-25,60,2026-10-25
10eea6aa,goAML Filing,2025-10-25,85,2026-10-25
244d7923,goAML Filing,2025-10-25,81,2026-10-25
5fd5fa3e,goAML Filing,2025-10-25,78,2026-10-25
48a60546,goAML Filing,2025-10-25,82,2026-10-25
203ab0c4,AML Basics,2025-10-25,80,2026-10-25
a042d63d,AML Basics,2025-10-25,92,2026-10-25
f8a70c98,TFS,2025-10-25,61,2026-10-25
0e792ac7,goAML Filing,2025-10-25,85,2026-10-25
6e26ffb9,TFS,2025-10-25,94,2026-10-25
d3e682cf,TFS,2025-10-25,84,2026-10-25
c4187460,CDD/EDD,2025-10-25,62,2026-10-25
0be17c1b,CDD/EDD,2025-10-25,89,2026-10-25
00ed9cf4,TFS,2025-10-25,72,2026-10-25
3d055b6f,CDD/EDD,2025-10-25,68,2026-10-25
7d5d2fc5,AML Basics,2025-10-25,83,2026-10-25
679c50af,goAML Filing,2025-10-25,68,2026-10-25
8a72ae6c,AML Basics,2025-10-25,99,2026-10-25
c287d1ae,CDD/EDD,2025-10-25,82,2026-10-25
7e8f82c9,goAML Filing,2025-10-25,70,2026-10-25
4f945da2,AML Basics,2025-10-25,78,2026-10-25
347c2193,AML Basics,2025-10-25,60,2026-10-25
bc584bda,goAML Filing,2025-10-25,64,2026-10-25
8b943686,TFS,2025-10-25,99,2026-10-25
b65da3de,AML Basics,2025-10-25,64,2026-10-25
f5d1cbdb,goAML Filing,2025-10-25,83,2026-10-25
b8639a1d,AML Basics,2025-10-25,85,2026-10-25
5b912846,goAML Filing,2025-10-25,88,2026-10-25
1861faa4,goAML Filing,2025-10-25,75,2026-10-25
2dd5b87e,CDD/EDD,2025-10-25,64,2026-10-25
99624e37,TFS,2025-10-25,83,2026-10-25
d8880646,TFS,2025-10-25,80,2026-10-25
6df80d73,AML Basics,2025-10-25,70,2026-10-25
af9874c3,CDD/EDD,2025-10-25,100,2026-10-25
8ceee09d,CDD/EDD,2025-10-25,60,2026-10-25
c6d17ae2,goAML Filing,2025-10-25,90,2026-10-25
60b425a5,AML Basics,2025-10-25,88,2026-10-25
3bf3afce,TFS,2025-10-25,96,2026-10-25
a13c86f6,goAML Filing,2025-10-25,79,2026-10-25
d1a9004b,goAML Filing,2025-10-25,62,2026-10-25
f54372b5,AML Basics,2025-10-25,83,2026-10-25
451d21b2,goAML Filing,2025-10-25,83,2026-10-25
59694b39,CDD/EDD,2025-10-25,65,2026-10-25
30ce2683,AML Basics,2025-10-25,89,2026-10-25
23ed4d17,AML Basics,2025-10-25,91,2026-10-25
8d511996,TFS,2025-10-25,69,2026-10-25
b8f2036c,AML Basics,2025-10-25,63,2026-10-25
e4acdb9f,goAML Filing,2025-10-25,99,2026-10-25
a660e9ce,TFS,2025-10-25,76,2026-10-25
5563c467,AML Basics,2025-10-25,83,2026-10-25
ee2355ee,CDD/EDD,2025-10-25,90,2026-10-25
07012edb,AML Basics,2025-10-25,94,2026-10-25
e19b6668,AML Basics,2025-10-25,99,2026-10-25
a588bc9b,AML Basics,2025-10-25,65,2026-10-25
efcc9fa7,CDD/EDD,2025-10-25,61,2026-10-25
c2ab72e6,goAML Filing,2025-10-25,92,2026-10-25
156376aa,AML Basics,2025-10-25,61,2026-10-25
70165152,CDD/EDD,2025-10-25,80,2026-10-25
dfd7b121,CDD/EDD,2025-10-25,67,2026-10-25
